Country,State,Year,"Urban Population (UOM:%(Percentage)), Scaling Factor:1"
India,Haryana,"Calendar Year (Jan - Dec), 1991",24.63
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 1991",8.69
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 1991",
India,Jharkhand,"Calendar Year (Jan - Dec), 1991",
India,Karnataka,"Calendar Year (Jan - Dec), 1991",30.92
India,Kerala,"Calendar Year (Jan - Dec), 1991",26.39
India,Ladakh,"Calendar Year (Jan - Dec), 1991",
India,Lakshadweep,"Calendar Year (Jan - Dec), 1991",56.31
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 1991",23.18
India,Maharashtra,"Calendar Year (Jan - Dec), 1991",38.69
India,Manipur,"Calendar Year (Jan - Dec), 1991",27.52
India,Meghalaya,"Calendar Year (Jan - Dec), 1991",18.6
India,Mizoram,"Calendar Year (Jan - Dec), 1991",46.1
India,Nagaland,"Calendar Year (Jan - Dec), 1991",17.21
India,Odisha,"Calendar Year (Jan - Dec), 1991",13.38
India,Puducherry,"Calendar Year (Jan - Dec), 1991",64.0
India,Punjab,"Calendar Year (Jan - Dec), 1991",29.55
India,Rajasthan,"Calendar Year (Jan - Dec), 1991",22.88
India,Sikkim,"Calendar Year (Jan - Dec), 1991",9.1
India,Tamil Nadu,"Calendar Year (Jan - Dec), 1991",34.15
India,Telangana,"Calendar Year (Jan - Dec), 1991",26.89
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 1991",27.6350000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 1991",15.3
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 1991",19.84
India,Uttarakhand,"Calendar Year (Jan - Dec), 1991",
India,West Bengal,"Calendar Year (Jan - Dec), 1991",27.48
