Country,State,Year,"Literacy Rate (UOM:Ratio), Scaling Factor:1"
India,Haryana,"Calendar Year (Jan - Dec), 1991",73.66
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 1991",84.17
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 1991",
India,Jharkhand,"Calendar Year (Jan - Dec), 1991",
India,Karnataka,"Calendar Year (Jan - Dec), 1991",79.67
India,Kerala,"Calendar Year (Jan - Dec), 1991",92.25
India,Ladakh,"Calendar Year (Jan - Dec), 1991",
India,Lakshadweep,"Calendar Year (Jan - Dec), 1991",83.99
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 1991",70.81
India,Maharashtra,"Calendar Year (Jan - Dec), 1991",79.20
India,Manipur,"Calendar Year (Jan - Dec), 1991",70.53
India,Meghalaya,"Calendar Year (Jan - Dec), 1991",81.74
India,Mizoram,"Calendar Year (Jan - Dec), 1991",93.45
India,Nagaland,"Calendar Year (Jan - Dec), 1991",83.10
India,Odisha,"Calendar Year (Jan - Dec), 1991",71.99
India,Puducherry,"Calendar Year (Jan - Dec), 1991",79.88
India,Punjab,"Calendar Year (Jan - Dec), 1991",72.08
India,Rajasthan,"Calendar Year (Jan - Dec), 1991",65.33
India,Sikkim,"Calendar Year (Jan - Dec), 1991",80.89
India,Tamil Nadu,"Calendar Year (Jan - Dec), 1991",77.99
India,Telangana,"Calendar Year (Jan - Dec), 1991",66.35
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 1991",80.5999905960031029221823
India,Tripura,"Calendar Year (Jan - Dec), 1991",83.09
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 1991",61.00
India,Uttarakhand,"Calendar Year (Jan - Dec), 1991",
India,West Bengal,"Calendar Year (Jan - Dec), 1991",75.27
