Sl. No.,Financial Year,Illegal mining - Registered case,Illegal mining - Recovered settlement amount (Rs.),Illegal transportation - Registered case,Illegal transportation - Recovered settlement amount,Illegal storage - Registered case,Illegal storage - Recovered settlement amount (Rs.)
1,2020-21,115,8648463,4386,54314679,73,4271500
2,2021-22 (June-21),12,635120,446,6498970,23,531620
