source,State,District,Rivers / Streams,start_date
news_reports,Tamil Nadu,"Tiruchirappalli, Karur","Kaveri, Kollidam",2023-01-17 18:30:00+00
news_reports,Madhya Pradesh,Narmadapuram,Narmada,2019-03-08 18:30:00+00
news_reports,Jammu & Kashmir,Anantnag,"Lidder, Jhelum, Brengi",2023-01-24 18:30:00+00
news_reports,Arunanchal Pradesh,Tawang,Nyamjang Chhu,2017-11-28 18:30:00+00
news_reports,Kerala,Kottayam,Meenachil,2023-01-19 18:30:00+00
news_reports,Maharashtra,Thane,Thane Creek,2023-01-21 18:30:00+00
news_reports,Punjab,"Ambala, Sahibzada Ajit Singh Nagar",N/A,2023-01-23 18:30:00+00
news_reports,Karnataka,Mandya,"Shimsha, Kaveri",2016-07-30 18:30:00+00
news_reports,Tamil Nadu,Tiruchirappalli,Kaveri,2023-01-29 18:30:00+00
news_reports,Madhya Pradesh,Bhind,Sindh,2022-02-27 18:30:00+00
news_reports,Punjab,Chandigarh,not mentioned,2023-01-31 18:30:00+00
news_reports,Karnataka,Udupi,"Swarna, Seetha",2018-12-17 18:30:00+00
news_reports,Punjab,Hoshiarpur,N/A,2023-02-03 18:30:00+00
news_reports,Kerala,Kottayam,"Meenachil, Meenanthara, Kodoor ",2023-02-02 18:30:00+00
news_reports,Odisha,Baleshwar,Sona,2023-02-05 18:30:00+00
news_reports,Rajasthan,Jaipur,N/A,2019-05-31 18:30:00+00
news_reports,Tamil Nadu,Thoothukkudi,not mentioned,2023-02-05 18:30:00+00
news_reports,Rajasthan,Bundi,Chambal,2019-03-27 18:30:00+00
news_reports,Punjab,Shahid Bhagat Singh Nagar,Sutlej,2023-02-08 18:30:00+00
news_reports,Rajasthan,Dungarpur,Som,2019-02-15 18:30:00+00
news_reports,Andhra Pradesh,Anantapur,Penna,2023-02-09 18:30:00+00
news_reports,Madhya Pradesh,Morena,Chambal,2017-01-01 18:30:00+00
news_reports,Odisha,Baleshwar,Subarnarekha,2019-02-09 18:30:00+00
news_reports,Odisha,Jagatsinghapur,"Mahanadi, Devi, Prachi",2019-06-05 18:30:00+00
news_reports,Punjab,Ludhiana,N/A,2023-03-04 18:30:00+00
news_reports,Haryana,Panipat,yamuna,2023-03-04 18:30:00+00
news_reports,Madhya Pradesh,Morena,N/A,2023-02-20 18:30:00+00
