source,State,District,River,event_date
court_docs,Madhya Pradesh,Dewas,"Narmada, Kali Sindh, Shipra",2022-05-07 18:30:00+00
court_docs,Odisha,Baleshwar,Subarnarekha,2023-08-02 18:30:00+00
court_docs,Uttar Pradesh,Banda,Ken,2019-06-27 18:30:00+00
court_docs,Rajasthan,Dhaulpur,Chambal,2022-03-30 18:30:00+00
court_docs,Uttar Pradesh,Shamli,Yamuna,2024-05-04 18:30:00+00
court_docs,Uttar Pradesh,Hamirpur,Betwa,2019-08-22 18:30:00+00
court_docs,Madhya Pradesh,"Sehore, Narmadapuram",Narmada,2021-12-10 18:30:00+00
court_docs,Meghalaya,West Garo Hills,Rongai,2024-07-23 18:30:00+00
court_docs,Meghalaya,West Garo Hills,Rongai,2024-08-14 18:30:00+00
court_docs,Odisha,"Bargarh, Jharsuguda",Mahanadi,2024-07-08 18:30:00+00
court_docs,Madhya Pradesh,,Chambal,2008-01-01 18:30:00+00
court_docs,Madhya Pradesh,Burhanpur,Tapi,2025-01-01 18:30:00+00
court_docs,Madhya Pradesh,Harda,Narmada,2025-05-17 18:30:00+00
court_docs,Madhya Pradesh,Narsimhapur,Narmada,2014-04-01 18:30:00+00
court_docs,Madhya Pradesh,,"Chambal, Narmada",2025-05-17 18:30:00+00
court_docs,Madhya Pradesh,Narmadapuram,Narmada,2021-01-01 18:30:00+00
court_docs,Madhya Pradesh,Gwalior,"Sindh, Yamuna",2025-05-17 18:30:00+00
court_docs,Karnataka,"Gadag, Raichur, Kalaburagi / Gulbarga",,2020-10-06 18:30:00+00
court_docs,Madhya Pradesh,Shivpuri,,2023-01-17 18:30:00+00
court_docs,"Uttar Pradesh, Rajasthan, Madhya Pradesh","Dhaulpur, Morena, Gwalior, Bhind, Bharatpur, Etawah, Jhansi",Chambal,2022-03-30 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,Narmada,2021-10-07 18:30:00+00
court_docs,Madhya Pradesh,Barwani,Narmada,2020-02-04 18:30:00+00
court_docs,Madhya Pradesh,Bhind,Sindh,2025-02-10 18:30:00+00
court_docs,Madhya Pradesh,Gwalior,Sindh,2020-09-04 18:30:00+00
court_docs,Andhra Pradesh,"Guntur, Krishna, Mahbubnagar, Medak, Nizamabad, Prakasam, Y.s.r. / Kadapa, Visakhapatnam, Warangal, Anantapur, East Godavari, Chittoor, Hyderabad, Kurnool, Nalgonda, Vizianagaram, West Godavari, Srikakulam, Annamayya, Sri Sathya Sai, Palnadu / Narasaraopet, Rangareddy, Tirupati, Bapatla, Dr. B. R. Ambedkar Konaseema / Konaseema, Sri Potti Sriramulu Nellore, Nandyal, Kakinada, Khammam, East Godavari, Karimnagar",,2023-06-23 18:30:00+00
court_docs,Madhya Pradesh,Vidisha,Betwa,2023-09-25 18:30:00+00
mining_obs,Bihar,Bhagalpur,Kosi (Bihar),2023-02-09 18:30:00+00
mining_obs,West Bengal,Barddhaman,Damodar,2024-03-11 18:30:00+00
mining_obs,Goa,North Goa,"Terekhol ",2023-10-22 18:30:00+00
mining_obs,West Bengal,Barddhaman,Damodar,2024-03-10 18:30:00+00
mining_obs,West Bengal,Barddhaman,Damodar,2024-03-09 18:30:00+00
mining_obs,Uttar Pradesh,Muzaffarnagar,yamuna,2023-10-16 18:30:00+00
mining_obs,West Bengal,Jalpaiguri,chel,2019-03-04 18:30:00+00
mining_obs,West Bengal,Paschim Medinipur,Subarnarekha,2024-03-08 18:30:00+00
mining_obs,West Bengal,Paschim Medinipur,Subarnarekha,2024-03-09 18:30:00+00
